№,дата начала (0),дата конца (5),последовательность,№ посл.,цена (0),цена (1),цена (2),цена (3),цена (4),цена (5),ход в цене,ход % от нуля,баров,растут ли вершины,что после (5),перекрытие
1,2017-07-28 04:00,2017-07-30 22:00,LH·HL·HH·HL·HH,П1,1257.46,1260.61,1258.22,1270.96,1268.31,1271.23,13.77,1.1,17,да,LL,нет
2,2017-07-31 07:00,2017-07-31 20:00,LH·HL·HH·HL·HH,П1,1265.88,1269.42,1266.5,1269.9,1267.06,1270.4,4.52,0.36,13,да,HL,нет
3,2017-08-04 14:00,2017-08-07 07:00,LH·HL·LH·HL·LH,П29,1254.27,1259.64,1256.6,1259.13,1257.23,1258.68,5.37,0.43,16,нет,LL,нет
4,2017-08-07 12:00,2017-08-08 10:00,HH·HL·HH·HL·HH,П6,1255.83,1260.04,1257.08,1261.05,1259.22,1265.35,9.52,0.76,21,да,LL,нет
5,2017-08-08 15:00,2017-08-09 18:00,LH·HL·HH·HL·HH,П1,1251.61,1263.05,1253.82,1269.24,1266.63,1278.79,27.17,2.17,26,да,HL,нет
6,2017-08-20 23:00,2017-08-21 18:00,LH·HL·HH·HL·LH,П5,1280.61,1289.28,1286.72,1294.08,1288.83,1293.33,13.47,1.05,19,нет,LL,нет
7,2017-08-22 14:00,2017-08-23 23:00,LH·HL·HH·HL·LH,П5,1282.05,1287.35,1284.97,1291.6,1286.8,1291.3,9.54,0.74,31,нет,HL,нет
8,2017-08-24 08:00,2017-08-25 13:00,HH·HL·LH·HL·HH,П16,1284.49,1290.25,1284.88,1287.2,1285.96,1295.15,10.66,0.83,28,нет,LL,нет
9,2017-08-25 13:00,2017-08-29 08:00,LH·HL·HH·HL·HH,П1,1276.2,1295.0,1293.96,1324.97,1314.06,1326.13,49.94,3.91,41,да,HL,да
10,2017-08-31 01:00,2017-09-01 12:00,LH·HL·HH·HL·HH,П1,1297.88,1308.29,1305.06,1323.69,1317.81,1329.05,31.18,2.4,34,да,LL,нет
11,2017-09-01 14:00,2017-09-04 13:00,HH·HL·HH·HL·LH,П12,1316.45,1339.13,1331.95,1340.04,1332.27,1336.01,23.59,1.79,22,нет,HL,нет
12,2017-09-06 18:00,2017-09-08 05:00,LH·HL·HH·HL·HH,П1,1331.64,1336.06,1334.12,1349.48,1342.4,1357.62,25.98,1.95,33,да,HL,нет
13,2017-09-12 10:00,2017-09-13 02:00,HH·HL·HH·HL·LH,П12,1322.68,1329.4,1325.3,1334.86,1329.57,1333.33,12.18,0.92,15,нет,LL,нет
14,2017-09-18 18:00,2017-09-19 07:00,LH·HL·HH·HL·LH,П5,1304.71,1309.55,1306.32,1309.97,1306.4,1309.85,5.26,0.4,12,нет,HL,нет
15,2017-09-19 16:00,2017-09-20 09:00,HH·HL·HH·HL·HH,П6,1305.19,1311.8,1309.73,1313.04,1311.66,1316.15,10.96,0.84,16,да,LL,нет
16,2017-09-21 12:00,2017-09-22 14:00,LH·HL·HH·HL·LH,П5,1288.15,1295.18,1290.25,1298.87,1293.45,1298.53,10.72,0.83,25,нет,HL,нет
17,2017-09-28 06:00,2017-09-29 12:00,HH·HL·HH·HL·HH,П6,1277.81,1286.34,1282.11,1288.75,1283.63,1290.5,12.7,0.99,29,да,LL,нет
18,2017-10-03 01:00,2017-10-04 06:00,LH·HL·HH·HL·HH,П1,1268.42,1272.55,1269.31,1274.78,1270.65,1278.7,10.28,0.81,28,да,HL,нет
19,2017-10-04 14:00,2017-10-05 09:00,LH·HL·LH·HL·HH,П20,1270.59,1276.35,1273.11,1275.31,1273.38,1279.03,8.44,0.66,18,нет,LL,нет
20,2017-10-09 14:00,2017-10-10 15:00,HH·HL·HH·HL·HH,П6,1279.46,1285.26,1282.21,1288.35,1285.72,1294.31,14.84,1.16,24,да,HL,нет
21,2017-10-19 02:00,2017-10-19 23:00,HH·HL·HH·HL·HH,П6,1276.73,1289.94,1284.12,1290.18,1285.68,1291.22,14.49,1.13,20,да,LL,нет
22,2017-10-27 12:00,2017-10-30 16:00,HH·HL·LH·HL·HH,П16,1263.58,1274.71,1269.0,1272.6,1269.8,1278.89,15.31,1.21,27,нет,HL,нет
23,2017-10-31 14:00,2017-11-01 14:00,LH·HL·HH·HL·LH,П5,1267.84,1272.06,1267.99,1280.92,1272.38,1279.96,13.08,1.03,23,нет,HL,нет
24,2017-11-02 11:00,2017-11-03 01:00,HH·HL·LH·HL·HH,П16,1273.32,1284.27,1274.96,1278.13,1275.57,1278.78,10.95,0.86,13,нет,HL,нет
25,2017-11-03 15:00,2017-11-06 17:00,LH·HL·LH·HL·HH,П20,1265.53,1271.19,1266.17,1270.71,1267.67,1283.08,17.55,1.39,24,нет,HL,нет
26,2017-11-07 15:00,2017-11-08 16:00,LH·HL·HH·HL·HH,П1,1271.97,1279.27,1276.01,1282.6,1278.64,1287.26,15.29,1.2,24,да,HL,нет
27,2017-11-10 18:00,2017-11-13 06:00,LH·HL·HH·HL·HH,П1,1273.51,1276.33,1274.41,1276.65,1275.46,1277.78,4.27,0.34,11,да,HL,нет
28,2017-11-16 07:00,2017-11-17 10:00,HH·HL·HH·HL·HH,П6,1275.17,1281.88,1276.41,1284.08,1281.15,1284.36,9.19,0.72,26,да,HL,нет
29,2017-11-24 11:00,2017-11-28 00:00,LH·HL·HH·HL·LH,П5,1285.81,1291.43,1286.79,1299.33,1292.29,1296.85,13.51,1.05,32,нет,HL,нет
30,2017-11-28 14:00,2017-11-29 07:00,HH·HL·LH·HL·HH,П16,1290.71,1297.57,1291.7,1296.07,1294.98,1296.76,6.86,0.53,16,нет,LL,нет
31,2017-11-30 18:00,2017-12-01 09:00,LH·HL·HH·HL·HH,П1,1270.37,1276.08,1273.98,1276.83,1274.25,1278.18,7.8,0.61,14,да,LL,нет
32,2017-12-04 08:00,2017-12-05 05:00,LH·HL·HH·HL·LH,П5,1271.2,1275.72,1272.33,1277.26,1274.39,1276.44,6.06,0.48,20,нет,HL,нет
33,2017-12-05 16:00,2017-12-06 10:00,LH·HL·HH·HL·HH,П1,1260.98,1267.5,1264.2,1269.2,1267.24,1269.35,8.37,0.66,17,да,LL,нет
34,2017-12-07 20:00,2017-12-10 23:00,LH·HL·HH·HL·LH,П5,1243.96,1249.76,1244.01,1252.42,1246.52,1249.3,8.46,0.68,25,нет,HL,нет
35,2017-12-13 12:00,2017-12-14 12:00,HH·HL·LH·HL·LH,П25,1240.3,1259.17,1253.42,1258.86,1253.76,1258.58,18.88,1.52,23,нет,LL,нет
36,2017-12-14 15:00,2017-12-15 13:00,LH·HL·LH·HL·HH,П20,1250.54,1256.72,1252.48,1255.94,1254.08,1261.96,11.41,0.91,21,нет,LL,нет
37,2017-12-22 01:00,2017-12-26 06:00,HH·HL·HH·HL·HH,П6,1265.08,1269.32,1267.78,1276.2,1273.41,1279.28,14.2,1.12,28,да,HL,нет
38,2018-01-04 01:00,2018-01-05 13:00,LH·HL·HH·HL·LH,П5,1305.94,1314.41,1309.22,1326.06,1320.72,1323.03,20.13,1.54,35,нет,LL,нет
39,2018-01-10 01:00,2018-01-10 20:00,LH·HL·HH·HL·LH,П5,1308.32,1312.54,1309.12,1327.87,1314.68,1320.44,19.56,1.49,19,нет,HL,нет
40,2018-01-11 07:00,2018-01-12 10:00,HH·HL·HH·HL·HH,П6,1315.82,1324.1,1320.98,1330.47,1326.62,1333.24,17.42,1.32,26,да,LL,нет
41,2018-01-12 13:00,2018-01-15 09:00,HH·HL·HH·HL·LH,П12,1323.42,1339.43,1336.0,1344.87,1340.23,1343.9,21.46,1.62,19,нет,LL,нет
42,2018-01-16 10:00,2018-01-17 10:00,LH·HL·HH·HL·LH,П5,1331.91,1337.22,1332.1,1344.08,1333.05,1339.03,12.17,0.91,23,нет,LL,нет
43,2018-01-18 01:00,2018-01-18 16:00,LH·HL·HH·HL·HH,П1,1324.3,1330.03,1325.26,1331.57,1326.92,1333.2,8.9,0.67,15,да,LL,нет
44,2018-01-22 17:00,2018-01-23 11:00,LH·HL·HH·HL·HH,П1,1330.79,1334.95,1332.61,1338.34,1335.67,1338.85,8.06,0.61,17,да,LL,нет
45,2018-01-23 14:00,2018-01-24 19:00,HH·HL·HH·HL·HH,П6,1331.47,1342.41,1339.58,1355.76,1351.32,1362.24,30.76,2.31,28,да,HL,нет
46,2018-01-30 05:00,2018-01-31 06:00,HH·HL·LH·HL·HH,П16,1334.5,1349.07,1335.81,1340.45,1336.55,1345.03,14.57,1.09,24,нет,HL,нет
47,2018-02-02 15:00,2018-02-05 11:00,LH·HL·LH·HL·HH,П20,1327.47,1336.75,1328.47,1333.98,1329.06,1338.66,11.19,0.84,19,нет,HL,нет
48,2018-02-09 15:00,2018-02-12 17:00,HH·HL·HH·HL·LH,П12,1311.21,1319.16,1312.06,1326.7,1316.84,1326.23,15.49,1.18,25,нет,HL,нет
49,2018-02-14 13:00,2018-02-15 08:00,HH·HL·LH·HL·HH,П16,1318.0,1355.52,1349.86,1355.36,1352.32,1357.19,39.19,2.97,18,нет,LL,нет
50,2018-02-15 12:00,2018-02-16 09:00,LH·HL·HH·HL·HH,П1,1348.61,1354.46,1348.73,1355.21,1352.45,1361.8,13.18,0.98,20,да,LL,нет
51,2018-02-16 19:00,2018-02-19 12:00,LH·HL·LH·HL·LH,П29,1344.9,1351.46,1346.38,1349.33,1346.47,1348.94,6.56,0.49,16,нет,LL,нет
52,2018-02-22 07:00,2018-02-23 17:00,HH·HL·LH·HL·LH,П25,1321.03,1332.34,1325.88,1331.72,1326.8,1330.64,11.31,0.86,33,нет,LL,нет
53,2018-02-25 23:00,2018-02-27 08:00,HH·HL·LH·HL·LH,П25,1326.73,1341.07,1330.28,1336.84,1331.44,1334.79,14.34,1.08,32,нет,LL,нет
54,2018-02-27 17:00,2018-02-28 14:00,LH·HL·HH·HL·HH,П1,1313.45,1318.93,1315.73,1319.16,1316.96,1322.64,9.19,0.7,20,да,LL,нет
55,2018-03-01 15:00,2018-03-02 05:00,LH·HL·HH·HL·LH,П5,1302.83,1312.93,1304.03,1321.25,1315.27,1319.19,18.42,1.41,13,нет,HL,нет
56,2018-03-05 19:00,2018-03-06 23:00,LH·HL·HH·HL·HH,П1,1317.61,1324.32,1320.63,1338.47,1332.33,1340.6,22.99,1.74,26,да,LL,нет
57,2018-03-20 14:00,2018-03-21 08:00,LH·HL·HH·HL·HH,П1,1307.21,1313.41,1309.46,1314.54,1312.82,1317.97,10.76,0.82,17,да,HL,нет
58,2018-03-22 17:00,2018-03-25 22:00,HH·HL·HH·HL·HH,П6,1324.81,1343.38,1340.27,1350.33,1345.57,1351.04,26.23,1.98,27,да,HL,нет
59,2018-03-29 15:00,2018-04-03 00:00,HH·HL·HH·HL·LH,П12,1321.25,1330.45,1328.44,1344.99,1339.66,1342.56,23.74,1.8,31,нет,LL,нет
60,2018-04-03 14:00,2018-04-04 12:00,LH·HL·HH·HL·HH,П1,1328.94,1334.94,1330.24,1336.02,1333.13,1348.27,19.33,1.45,21,да,LL,нет
61,2018-04-06 07:00,2018-04-08 22:00,LH·HL·HH·HL·LH,П5,1320.08,1326.45,1320.49,1335.59,1330.34,1335.14,15.52,1.18,14,нет,LL,нет
62,2018-04-09 10:00,2018-04-11 00:00,HH·HL·HH·HL·HH,П6,1326.93,1338.38,1331.09,1341.05,1335.95,1342.78,15.85,1.19,36,да,HL,нет
63,2018-04-15 22:00,2018-04-16 14:00,HH·HL·LH·HL·HH,П16,1340.26,1348.87,1341.18,1346.02,1342.4,1350.59,10.33,0.77,16,нет,HL,нет
64,2018-04-17 12:00,2018-04-18 22:00,HH·HL·HH·HL·LH,П12,1337.71,1347.78,1342.38,1355.81,1347.61,1351.64,18.1,1.35,32,нет,HL,нет
65,2018-04-25 12:00,2018-04-26 07:00,LH·HL·HH·HL·HH,П1,1318.86,1324.06,1322.04,1324.68,1323.18,1326.72,7.85,0.6,18,да,LL,нет
66,2018-04-26 15:00,2018-04-30 00:00,LH·HL·HH·HL·LH,П5,1315.29,1318.38,1315.41,1325.29,1322.46,1325.03,10.01,0.76,31,нет,LL,нет
67,2018-05-01 14:00,2018-05-02 07:00,LH·HL·HH·HL·LH,П5,1301.76,1308.14,1303.81,1311.96,1307.77,1311.73,10.21,0.78,16,нет,LL,нет
68,2018-05-02 19:00,2018-05-03 18:00,LH·HL·HH·HL·LH,П5,1303.96,1310.62,1306.5,1318.18,1310.71,1315.09,14.22,1.09,22,нет,HL,нет
69,2018-05-10 07:00,2018-05-11 12:00,HH·HL·LH·HL·HH,П16,1310.79,1323.19,1316.27,1322.34,1318.5,1326.05,15.26,1.16,28,нет,LL,нет
70,2018-05-17 10:00,2018-05-18 07:00,LH·HL·LH·HL·LH,П29,1284.91,1292.2,1287.69,1291.82,1287.8,1291.18,7.28,0.57,20,нет,LL,нет
71,2018-05-21 07:00,2018-05-22 16:00,LH·HL·HH·HL·LH,П5,1282.03,1293.54,1287.95,1296.64,1291.06,1294.61,14.61,1.14,32,нет,LL,нет
72,2018-05-23 13:00,2018-05-24 00:00,LH·HL·HH·HL·HH,П1,1287.88,1294.42,1289.04,1295.1,1292.94,1296.02,8.14,0.63,10,да,LL,нет
73,2018-05-24 06:00,2018-05-24 19:00,HH·HL·HH·HL·LH,П12,1292.84,1298.0,1295.6,1306.64,1303.71,1306.2,13.8,1.07,13,нет,LL,нет
74,2018-05-30 07:00,2018-05-31 06:00,LH·HL·HH·HL·HH,П1,1295.91,1299.86,1296.63,1305.15,1301.3,1306.91,11.0,0.85,22,да,LL,нет
75,2018-06-05 05:00,2018-06-06 06:00,HH·HL·HH·HL·LH,П12,1289.91,1294.19,1290.41,1300.63,1296.48,1299.51,10.72,0.83,24,нет,LL,нет
76,2018-06-06 11:00,2018-06-07 12:00,HH·HL·LH·HL·HH,П16,1293.9,1301.91,1294.82,1298.26,1295.61,1303.33,9.42,0.73,24,нет,LL,нет
77,2018-06-08 05:00,2018-06-11 01:00,HH·HL·LH·HL·HH,П16,1292.71,1300.59,1297.17,1300.47,1298.37,1301.35,8.65,0.67,19,нет,LL,нет
78,2018-06-13 08:00,2018-06-14 12:00,HH·HL·HH·HL·HH,П6,1292.05,1299.04,1292.71,1301.26,1297.58,1309.4,17.35,1.34,27,да,LL,нет
79,2018-06-19 12:00,2018-06-20 05:00,LH·HL·LH·HL·LH,П29,1270.44,1277.6,1273.2,1276.47,1273.27,1275.08,7.16,0.56,16,нет,LL,нет
80,2018-06-21 12:00,2018-06-25 00:00,HH·HL·HH·HL·HH,П6,1261.26,1270.23,1266.75,1271.18,1266.95,1272.7,11.44,0.91,34,да,LL,нет
81,2018-06-28 18:00,2018-06-29 13:00,LH·HL·HH·HL·HH,П1,1245.98,1249.57,1245.99,1252.89,1249.05,1252.91,6.93,0.56,18,да,LL,нет
82,2018-07-03 05:00,2018-07-04 06:00,HH·HL·HH·HL·HH,П6,1238.02,1256.98,1251.94,1260.53,1256.24,1261.18,23.16,1.87,24,да,LL,нет
83,2018-07-12 00:00,2018-07-12 18:00,LH·HL·HH·HL·LH,П5,1241.42,1246.44,1242.5,1248.63,1245.38,1247.98,7.21,0.58,18,нет,HL,нет
84,2018-07-13 12:00,2018-07-16 09:00,LH·HL·HH·HL·LH,П5,1236.52,1243.82,1240.75,1245.65,1241.88,1245.04,9.14,0.74,20,нет,LL,нет
85,2018-07-19 12:00,2018-07-23 05:00,HH·HL·HH·HL·LH,П12,1211.52,1229.6,1215.64,1235.24,1231.26,1232.86,23.72,1.96,39,нет,LL,нет
86,2018-08-17 00:00,2018-08-17 15:00,LH·HL·HH·HL·HH,П1,1171.92,1179.38,1173.58,1179.96,1175.14,1180.57,8.65,0.74,15,да,HL,нет
87,2018-08-22 07:00,2018-08-23 06:00,HH·HL·LH·HL·LH,П25,1192.66,1201.71,1194.45,1199.07,1194.57,1193.02,9.06,0.76,22,нет,LL,нет
88,2018-08-28 19:00,2018-08-29 23:00,LH·HL·HH·HL·HH,П1,1199.69,1204.88,1201.53,1206.0,1202.14,1207.96,8.28,0.69,26,да,LL,нет
89,2018-09-04 14:00,2018-09-05 15:00,LH·HL·LH·HL·HH,П20,1189.69,1194.7,1190.88,1194.67,1191.95,1198.55,8.86,0.74,24,нет,HL,нет
90,2018-09-11 13:00,2018-09-12 18:00,HH·HL·LH·HL·HH,П16,1187.82,1199.46,1192.73,1197.68,1193.0,1208.54,20.72,1.74,28,нет,HL,нет
91,2018-09-18 07:00,2018-09-19 07:00,HH·HL·LH·HL·HH,П16,1195.9,1203.63,1196.99,1200.01,1198.23,1204.7,8.8,0.74,23,нет,HL,нет
92,2018-09-20 09:00,2018-09-21 07:00,HH·HL·LH·HL·HH,П16,1201.34,1208.5,1203.07,1207.95,1206.67,1211.15,9.81,0.82,21,нет,LL,нет
93,2018-09-21 13:00,2018-09-25 01:00,LH·HL·HH·HL·LH,П5,1192.02,1199.76,1194.46,1204.23,1198.45,1199.56,12.21,1.02,34,нет,LL,нет
94,2018-09-25 02:00,2018-09-25 23:00,HH·HL·HH·HL·LH,П12,1197.2,1200.82,1198.36,1203.41,1200.01,1202.01,6.21,0.52,20,нет,LL,нет
95,2018-10-01 09:00,2018-10-02 08:00,HH·HL·LH·HL·HH,П16,1184.62,1192.12,1185.21,1190.3,1188.59,1194.78,10.16,0.86,22,нет,HL,нет
96,2018-10-04 18:00,2018-10-08 00:00,LH·HL·HH·HL·LH,П5,1196.9,1200.75,1197.3,1205.87,1200.35,1204.19,8.97,0.75,28,нет,LL,нет
97,2018-10-08 15:00,2018-10-10 01:00,LH·HL·LH·HL·HH,П20,1182.9,1191.98,1183.38,1190.49,1187.14,1191.48,9.08,0.77,32,нет,HL,нет
98,2018-10-10 12:00,2018-10-12 03:00,HH·HL·HH·HL·LH,П12,1185.38,1195.18,1191.37,1226.4,1217.6,1222.36,41.03,3.46,37,нет,LL,нет
99,2018-10-12 06:00,2018-10-16 00:00,HH·HL·HH·HL·LH,П12,1215.9,1223.81,1216.35,1233.29,1224.22,1228.7,17.39,1.43,40,нет,HL,нет
100,2018-10-18 06:00,2018-10-19 06:00,HH·HL·HH·HL·LH,П12,1218.74,1226.37,1221.09,1230.26,1224.62,1229.54,11.52,0.95,23,нет,LL,нет
101,2018-10-19 07:00,2018-10-22 03:00,HH·HL·LH·HL·LH,П25,1223.11,1230.86,1225.57,1229.63,1226.34,1228.45,7.75,0.63,19,нет,LL,нет
102,2018-10-22 14:00,2018-10-23 12:00,LH·HL·HH·HL·HH,П1,1220.14,1223.7,1221.75,1224.59,1223.37,1239.81,19.67,1.61,21,да,HL,нет
103,2018-10-24 12:00,2018-10-25 13:00,LH·HL·HH·HL·LH,П5,1225.72,1233.46,1227.46,1239.27,1230.11,1235.48,13.55,1.11,24,нет,LL,нет
104,2018-10-25 18:00,2018-10-26 09:00,LH·HL·LH·HL·HH,П20,1228.13,1233.26,1230.16,1233.01,1231.24,1238.62,10.48,0.85,14,нет,HL,нет
105,2018-10-31 13:00,2018-11-01 17:00,LH·HL·HH·HL·HH,П1,1212.0,1217.46,1212.62,1226.85,1222.49,1237.5,25.5,2.1,27,да,HL,нет
106,2018-11-02 13:00,2018-11-05 08:00,HH·HL·LH·HL·LH,П25,1229.84,1236.52,1230.49,1235.17,1230.72,1234.42,6.69,0.54,17,нет,LL,нет
107,2018-11-15 13:00,2018-11-16 14:00,LH·HL·HH·HL·HH,П1,1207.68,1215.9,1211.44,1217.26,1214.06,1225.36,17.69,1.46,24,да,HL,нет
108,2018-11-21 00:00,2018-11-21 15:00,LH·HL·HH·HL·HH,П1,1219.87,1221.98,1220.18,1225.56,1222.29,1230.0,10.14,0.83,15,да,HL,нет
109,2018-11-22 01:00,2018-11-22 17:00,HH·HL·HH·HL·LH,П12,1225.0,1228.47,1226.17,1229.18,1226.8,1228.0,4.18,0.34,16,нет,LL,нет
110,2018-11-28 14:00,2018-11-29 16:00,HH·HL·HH·HL·HH,П6,1211.28,1226.39,1220.2,1228.48,1224.39,1229.09,17.81,1.47,25,да,LL,нет
111,2018-11-30 14:00,2018-12-03 14:00,LH·HL·HH·HL·HH,П1,1216.75,1223.12,1221.38,1232.41,1227.95,1235.07,18.32,1.51,23,да,HL,нет
112,2018-12-05 08:00,2018-12-06 02:00,LH·HL·HH·HL·HH,П1,1233.42,1238.8,1235.53,1239.13,1236.08,1240.85,7.44,0.6,17,да,LL,нет
113,2018-12-06 07:00,2018-12-07 03:00,LH·HL·HH·HL·LH,П5,1234.79,1237.77,1235.39,1244.36,1236.53,1240.67,9.57,0.77,19,нет,HL,нет
114,2018-12-11 19:00,2018-12-12 18:00,LH·HL·HH·HL·HH,П1,1241.09,1246.25,1242.09,1246.89,1243.98,1247.24,6.15,0.5,22,да,HL,нет
115,2018-12-14 14:00,2018-12-17 18:00,HH·HL·LH·HL·HH,П16,1233.0,1240.39,1235.87,1238.21,1236.53,1248.2,15.2,1.23,27,нет,HL,нет
116,2018-12-18 07:00,2018-12-19 08:00,HH·HL·HH·HL·HH,П6,1245.17,1250.48,1245.92,1251.05,1248.63,1251.45,6.28,0.5,24,да,LL,нет
117,2018-12-19 21:00,2018-12-21 00:00,LH·HL·HH·HL·LH,П5,1241.85,1257.17,1253.57,1266.56,1259.75,1262.68,24.7,1.99,25,нет,LL,нет
118,2018-12-21 18:00,2018-12-26 16:00,HH·HL·HH·HL·HH,П6,1254.01,1265.48,1259.44,1274.85,1271.13,1279.13,25.11,2.0,42,да,LL,нет
119,2018-12-26 20:00,2018-12-27 18:00,LH·HL·HH·HL·HH,П1,1264.72,1272.42,1266.75,1276.76,1270.72,1278.99,14.27,1.13,21,да,HL,нет
120,2018-12-31 18:00,2019-01-02 16:00,HH·HL·HH·HL·LH,П12,1278.16,1283.07,1278.78,1288.84,1281.9,1287.83,10.68,0.84,21,нет,LL,нет
121,2019-01-04 14:00,2019-01-07 18:00,LH·HL·HH·HL·LH,П5,1276.7,1286.22,1282.73,1295.11,1286.26,1289.06,18.41,1.44,27,нет,HL,нет
122,2019-01-10 21:00,2019-01-14 11:00,HH·HL·LH·HL·HH,П16,1286.14,1295.25,1287.08,1292.87,1290.27,1295.95,9.81,0.76,36,нет,LL,нет
123,2019-01-21 12:00,2019-01-23 01:00,LH·HL·HH·HL·HH,П1,1276.85,1281.11,1277.54,1284.93,1279.35,1285.78,8.93,0.7,31,да,HL,нет
124,2019-01-24 13:00,2019-01-25 21:00,LH·HL·HH·HL·HH,П1,1276.91,1283.98,1279.59,1285.24,1282.51,1304.1,27.18,2.13,31,да,HL,нет
125,2019-01-28 14:00,2019-01-29 08:00,HH·HL·HH·HL·HH,П6,1297.77,1304.27,1302.26,1304.69,1302.83,1309.4,11.62,0.9,17,да,HL,нет
126,2019-01-30 18:00,2019-02-01 01:00,HH·HL·HH·HL·LH,П12,1309.16,1323.37,1317.54,1326.31,1318.93,1321.92,17.15,1.31,29,нет,LL,нет
127,2019-02-05 09:00,2019-02-06 08:00,HH·HL·LH·HL·LH,П25,1310.82,1316.95,1312.76,1315.87,1312.85,1315.67,6.13,0.47,22,нет,LL,нет
128,2019-02-07 04:00,2019-02-08 18:00,HH·HL·LH·HL·HH,П16,1302.89,1311.96,1306.4,1311.64,1307.89,1315.65,12.77,0.98,37,нет,HL,нет
129,2019-02-11 14:00,2019-02-12 18:00,LH·HL·HH·HL·LH,П5,1303.76,1310.42,1306.6,1314.8,1308.37,1312.67,11.03,0.85,27,нет,HL,нет
130,2019-02-14 12:00,2019-02-15 20:00,HH·HL·HH·HL·HH,П6,1302.45,1314.42,1311.49,1319.98,1314.34,1322.54,20.09,1.54,31,да,HL,нет
131,2019-02-22 10:00,2019-02-25 11:00,HH·HL·LH·HL·LH,П25,1321.69,1333.13,1326.98,1331.99,1327.91,1331.22,11.43,0.87,24,нет,LL,нет
132,2019-02-25 13:00,2019-02-26 03:00,HH·HL·LH·HL·HH,П16,1325.23,1332.61,1325.74,1328.48,1326.7,1330.25,7.37,0.56,13,нет,LL,нет
133,2019-02-26 12:00,2019-02-27 13:00,HH·HL·HH·HL·LH,П12,1323.58,1327.84,1323.79,1329.95,1325.77,1328.85,6.37,0.48,24,нет,LL,нет
134,2019-03-07 08:00,2019-03-08 09:00,HH·HL·LH·HL·HH,П16,1280.92,1289.05,1282.96,1288.49,1285.28,1295.87,14.95,1.17,24,нет,HL,нет
135,2019-03-11 17:00,2019-03-12 19:00,LH·HL·HH·HL·HH,П1,1290.56,1294.08,1292.14,1297.49,1294.47,1302.26,11.7,0.91,25,да,HL,нет
136,2019-03-14 13:00,2019-03-15 08:00,LH·HL·HH·HL·HH,П1,1292.93,1296.55,1293.34,1297.11,1294.19,1304.46,11.54,0.89,18,да,HL,нет
137,2019-03-18 01:00,2019-03-19 04:00,HH·HL·LH·HL·HH,П16,1298.33,1306.78,1301.1,1303.96,1302.4,1307.93,9.6,0.74,26,нет,HL,нет
138,2019-03-21 16:00,2019-03-22 13:00,LH·HL·HH·HL·HH,П1,1303.35,1309.64,1306.94,1310.37,1307.43,1314.96,11.61,0.89,20,да,HL,нет
139,2019-03-26 11:00,2019-03-27 01:00,LH·HL·LH·HL·HH,П20,1312.8,1318.87,1313.43,1317.32,1315.18,1318.58,6.07,0.46,13,нет,LL,нет
140,2019-04-02 07:00,2019-04-03 05:00,HH·HL·HH·HL·HH,П6,1285.37,1291.93,1289.0,1292.94,1290.28,1293.79,8.42,0.66,21,да,HL,нет
141,2019-04-03 14:00,2019-04-04 06:00,LH·HL·HH·HL·HH,П1,1288.48,1291.93,1289.77,1292.56,1290.41,1293.6,5.12,0.4,15,да,LL,нет
142,2019-04-05 12:00,2019-04-08 12:00,HH·HL·HH·HL·HH,П6,1284.5,1293.24,1291.33,1298.03,1296.04,1303.75,19.25,1.5,23,да,HL,нет
143,2019-04-11 17:00,2019-04-12 09:00,LH·HL·HH·HL·HH,П1,1289.78,1294.09,1291.26,1294.39,1291.5,1295.82,6.05,0.47,15,да,LL,нет
144,2019-04-18 06:00,2019-04-22 10:00,HH·HL·HH·HL·HH,П6,1271.28,1277.69,1272.62,1279.81,1276.52,1279.88,8.6,0.68,27,да,LL,нет
145,2019-04-24 03:00,2019-04-25 03:00,HH·HL·HH·HL·LH,П12,1268.87,1274.2,1270.27,1278.55,1273.47,1276.9,9.67,0.76,23,нет,HL,нет
146,2019-05-03 12:00,2019-05-06 07:00,HH·HL·HH·HL·LH,П12,1268.47,1282.51,1278.1,1285.86,1281.81,1283.97,17.4,1.37,18,нет,LL,нет
147,2019-05-06 13:00,2019-05-07 04:00,LH·HL·HH·HL·HH,П1,1277.12,1283.06,1280.08,1283.31,1281.51,1283.7,6.58,0.52,14,да,LL,нет
148,2019-05-07 12:00,2019-05-08 06:00,HH·HL·HH·HL·HH,П6,1278.26,1286.14,1283.65,1287.21,1285.28,1288.05,9.79,0.77,17,да,HL,нет
149,2019-05-08 17:00,2019-05-09 14:00,LH·HL·HH·HL·HH,П1,1279.5,1282.86,1279.71,1285.62,1280.36,1288.2,8.7,0.68,20,да,HL,нет
150,2019-05-20 09:00,2019-05-20 19:00,HH·HL·HH·HL·LH,П12,1273.76,1278.54,1275.36,1279.03,1275.69,1278.5,5.27,0.41,10,нет,LL,нет
151,2019-05-21 13:00,2019-05-22 04:00,LH·HL·HH·HL·LH,П5,1269.6,1274.98,1272.65,1275.4,1273.28,1274.42,5.79,0.46,14,нет,LL,нет
152,2019-05-24 13:00,2019-05-27 08:00,HH·HL·HH·HL·LH,П12,1280.84,1286.65,1283.9,1287.45,1285.32,1287.03,6.61,0.52,18,нет,LL,нет
153,2019-05-28 14:00,2019-05-29 19:00,LH·HL·HH·HL·LH,П5,1276.22,1281.94,1279.2,1285.56,1279.78,1282.89,9.35,0.73,28,нет,LL,нет
